Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,98.5626%,15431,1058112,1073543,933630,7981,7450,124482
0x129c0,74.7538%,8178,24215,32393,13270,4975,3203,10945
0x1274c,74.7293%,5367,15871,21238,8372,1950,3417,7499
0x12740,95.7257%,948,21231,22179,3,938,10,21228
0x12bac,95.1548%,884,17361,18245,17201,102,782,160
0x129ac,99.9228%,25,32375,32400,0,8,17,32375
0x12ba4,99.9562%,8,18237,18245,0,0,8,18237
0x12754,99.941%,7,11850,11857,940,1,6,10910
0x12700,99.9775%,5,22175,22180,0,1,4,22175
0x129c8,99.9877%,4,32397,32401,32397,2,2,0
0x129d4,0%,2,0,2,0,1,1,0
0x80000054,0%,1,0,1,0,1,0,0
0x12b58,99.9999%,1,861447,861448,861447,1,0,0
0x12a14,0%,1,0,1,0,1,0,0
0x12aa4,100%,0,1,1,0,0,0,1
0x80000578,100%,0,1,1,0,0,0,1
0x12a10,100%,0,1,1,0,0,0,1
0x126d0,100%,0,942,942,0,0,0,942
0x80000034,100%,0,1,1,0,0,0,1
0x129f0,100%,0,1,1,0,0,0,1
0x12998,100%,0,1,1,0,0,0,1
0x1295c,100%,0,1,1,0,0,0,1
0x12978,100%,0,1,1,0,0,0,1
0x129d8,100%,0,1,1,0,0,0,1
0x129f4,100%,0,1,1,0,0,0,1
0x800003e8,100%,0,1,1,0,0,0,1
