Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,91.0609%,690239,7031371,7721610,3995538,133324,556915,3035833
0x1bef8,74.7704%,397850,1179067,1576917,1148755,26348,371502,30312
0x1bf40,81.8052%,286917,1290000,1576917,1075681,105222,181695,214319
0x1bf50,99.552%,1774,394240,396014,394240,25,1749,0
0x1c228,64.9209%,643,1190,1833,19,592,51,1171
0x1c230,52.7823%,577,645,1222,377,247,330,268
0x1c380,69.8966%,466,1082,1548,947,136,330,135
0x1c2e8,80.2589%,305,1240,1545,1175,57,248,65
0x1c238,53.3445%,279,319,598,237,86,193,82
0x1c294,83.9378%,248,1296,1544,46,190,58,1250
0x1c334,86.3314%,212,1339,1551,834,38,174,505
0x1c45c,83.4704%,201,1015,1216,864,58,143,151
0x1c410,78.2609%,130,468,598,459,23,107,9
0x1c36c,55.7471%,77,97,174,74,34,43,23
0x1c26c,94.0262%,73,1149,1222,896,44,29,253
0x1c4b0,84.3066%,43,231,274,219,12,31,12
0x1bf0c,99.9913%,35,401779,401814,0,21,14,401779
0x1c288,98.5816%,26,1807,1833,0,21,5,1807
0x1bed0,99.9937%,25,395988,396013,0,0,25,395988
0x1c3b8,60%,24,36,60,23,15,9,13
0x1beec,99.9985%,24,1576892,1576916,0,0,24,1576892
0x161a4,99.9982%,24,1357934,1357958,1357934,4,20,0
0x1bf18,99.9958%,17,401776,401793,0,0,17,401776
0x1c494,39.1304%,14,9,23,6,7,7,3
0x1c0bc,98.3908%,14,856,870,0,12,2,856
0x1c338,97.9381%,14,665,679,499,6,8,166
0x110ac,61.7647%,13,21,34,1,9,4,20
0x1c384,97.6344%,11,454,465,400,5,6,54
0x1c09c,98.7486%,11,868,879,0,9,2,868
0x1c2d0,99.3557%,10,1542,1552,1540,4,6,2
0x1c320,69.697%,10,23,33,18,5,5,5
0x4b950,52.381%,10,11,21,0,4,6,11
0x1c264,99.2635%,9,1213,1222,1212,4,5,1
0x1c3fc,60%,8,12,20,7,4,4,5
0x1c2b0,99.4845%,8,1544,1552,1544,4,4,0
0x1c2a4,99.5466%,7,1537,1544,1536,5,2,1
0x1c2ec,97.7636%,7,306,313,278,2,5,28
0x1c3c8,97.4576%,6,230,236,215,1,5,15
0x1c460,97.9592%,6,288,294,270,1,5,18
0x4dc88,71.4286%,6,15,21,15,2,4,0
0x4cd94,50%,5,5,10,4,2,3,1
0x4cb68,16.6667%,5,1,6,1,3,2,0
0x4c720,33.3333%,4,2,6,2,2,2,0
0x1c270,99.7818%,4,1829,1833,0,0,4,1829
0x4b974,76.4706%,4,13,17,13,2,2,0
0x110c4,83.3333%,4,20,24,1,2,2,19
0x4ddac,76.4706%,4,13,17,0,2,2,13
0x1c2e0,50%,4,4,8,2,2,2,2
0x4c738,50%,3,3,6,0,2,1,3
0x1c244,98.9091%,3,272,275,272,2,1,0
0x4a2cc,50%,3,3,6,1,1,2,2
0x1c2c4,99.8067%,3,1549,1552,1549,2,1,0
