Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.8029%,13145,6656770,6669915,2997019,5676,7469,3659751
0x13980,99.7903%,1516,721355,722871,531587,143,1373,189768
0x138ec,99.7915%,1507,721363,722870,651940,73,1434,69423
0x14da0,55.7839%,1162,1466,2628,543,689,473,923
0x14cb4,56.2405%,1150,1478,2628,544,688,462,934
0x13d0c,69.3735%,1007,2281,3288,1280,677,330,1001
0x13d9c,72.4453%,906,2382,3288,1256,657,249,1126
0x139c4,99.6468%,851,240106,240957,237343,69,782,2763
0x14bf4,71.1742%,761,1879,2640,192,576,185,1687
0x13998,99.6113%,743,190398,191141,189798,211,532,600
0x13d54,76.9%,617,2054,2671,826,439,178,1228
0x14270,60.0365%,438,658,1096,381,236,202,277
0x13904,99.578%,299,70558,70857,70495,29,270,63
0x13efc,94.1302%,193,3095,3288,2127,65,128,968
0x13a80,99.94%,114,189895,190009,52,107,7,189843
0x13950,98.4136%,114,7072,7186,6963,40,74,109
0x139b4,99.9856%,104,722767,722871,481864,50,54,240903
0x14d48,96.2044%,101,2560,2661,1730,44,57,830
0xffffffe0003a4b64,90.7258%,92,900,992,441,55,37,459
0x13f20,95.1717%,90,1774,1864,104,80,10,1670
0x1696c,85.3448%,85,495,580,72,44,41,423
0x13f4c,94.9435%,85,1596,1681,95,69,16,1501
0x139a0,93.1095%,78,1054,1132,137,42,36,917
0x13938,99.9896%,75,722796,722871,715656,29,46,7140
0x168c8,85.8527%,73,443,516,399,24,49,44
0x16a3c,91.9955%,71,816,887,382,41,30,434
0x4b950,97.1927%,66,2285,2351,123,36,30,2162
0x13d3c,98.6618%,44,3244,3288,584,33,11,2660
0x14b88,98.4592%,41,2620,2661,2620,8,33,0
0x1390c,87.6877%,41,292,333,116,21,20,176
0xffffffe0003ad3b0,92.8287%,36,466,502,0,33,3,466
0xffffffe0003ad438,92.9293%,35,460,495,460,2,33,0
0xffffffe0003a4c4c,95.1613%,24,472,496,232,16,8,240
0x14bd8,99.1357%,23,2638,2661,7,14,9,2631
0x14c98,98.7714%,23,1849,1872,1,18,5,1848
0xffffffe0003a4c9c,95.3629%,23,473,496,0,16,7,473
0x4b840,86.1635%,22,137,159,40,11,11,97
0x4cd00,99.4605%,20,3687,3707,3687,6,14,0
0xffffffe0003c3098,96.5074%,19,525,544,483,9,10,42
0xffffffe0003a4894,96.2227%,19,484,503,0,16,3,484
0x14bb4,97.5919%,19,770,789,767,8,11,3
0x13da4,98.8364%,16,1359,1375,25,9,7,1334
0x4a28c,89.9371%,16,143,159,72,10,6,71
0x13f14,98.5144%,16,1061,1077,345,3,13,716
0xffffffe0003c3090,99.2589%,15,2009,2024,1473,7,8,536
0x51140,99.4729%,14,2642,2656,151,8,6,2491
0x4ccdc,99.8813%,13,10942,10955,7244,4,9,3698
0x4ddac,99.7735%,13,5727,5740,3545,3,10,2182
0x13d14,99.0984%,12,1319,1331,159,10,2,1160
0x4c65c,99.4309%,11,1922,1933,1919,7,4,3
0x4b800,93.7107%,10,149,159,77,5,5,72
0x4c4c4,99.7302%,10,3697,3707,1929,4,6,1768
0xffffffe0003cd4f0,88.4615%,9,69,78,40,4,5,29
0x13918,99.9989%,8,722863,722871,0,0,8,722863
0x13958,95.6284%,8,175,183,29,3,5,146
0x1688c,99.2701%,8,1088,1096,576,3,5,512
0xffffffe0003c30a0,99.5431%,7,1525,1532,1507,1,6,18
0xffffffe000771224,99.913%,7,8041,8048,7542,3,4,499
0x4c6b4,99.8112%,7,3700,3707,3700,4,3,0
0x13d5c,99.5021%,7,1399,1406,61,5,2,1338
0x138cc,99.999%,7,722863,722870,0,0,7,722863
0x4ccd0,99.931%,5,7243,7248,0,2,3,7243
0x139ac,99.9993%,5,722866,722871,0,0,5,722866
0x4dc88,99.9152%,5,5894,5899,5737,3,2,157
0x4e344,99.8299%,4,2347,2351,0,0,4,2347
0xffffffe0003ced54,71.4286%,4,10,14,10,4,0,0
0x4cbcc,88.2353%,4,30,34,30,2,2,0
0x4a030,94.8052%,4,73,77,72,2,2,1
0xffffffe0003abec4,99.1919%,4,491,495,461,1,3,30
0xffffffe0002f31dc,99.4186%,3,513,516,11,3,0,502
0x4dc50,99.9491%,3,5896,5899,0,0,3,5896
0xffffffe0003cd520,93.1818%,3,41,44,28,2,1,13
0xffffffe0003a4bc8,99.3952%,3,493,496,245,3,0,248
0x14ce8,99.7851%,3,1393,1396,0,0,3,1393
0x4e374,99.8724%,3,2348,2351,0,0,3,2348
0x13f08,99.7263%,3,1093,1096,17,2,1,1076
0x16a40,99.4828%,3,577,580,577,1,2,0
0x4b90c,99.8724%,3,2348,2351,0,0,3,2348
0xffffffe0003cd4c0,99.4186%,3,513,516,21,3,0,492
0xffffffe0003d039c,92.8571%,3,39,42,12,2,1,27
0x4bff4,78.5714%,3,11,14,11,3,0,0
0xffffffe0003d03a8,89.2857%,3,25,28,12,2,1,13
0x168cc,99.6124%,2,514,516,0,1,1,514
0xffffffe0003ca3f4,99.6016%,2,500,502,0,1,1,500
0x14074,99.8955%,2,1911,1913,0,0,2,1911
0xffffffe0003ce29c,85.7143%,2,12,14,12,2,0,0
0x4cb68,99.946%,2,3705,3707,1931,2,0,1774
0x4b900,99.9149%,2,2349,2351,0,0,2,2349
0x14bbc,99.8419%,2,1263,1265,1263,2,0,0
0x4c48c,99.946%,2,3705,3707,0,0,2,3705
0x4b938,99.9149%,2,2349,2351,0,0,2,2349
0x4c63c,99.8965%,2,1931,1933,0,0,2,1931
0xffffffe00077457c,92.8571%,2,26,28,26,2,0,0
0xffffffe0003a4920,99.6024%,2,501,503,501,1,1,0
0x4b974,99.9088%,2,2190,2192,2190,2,0,0
0xffffffe0003a4860,99.6024%,2,501,503,501,2,0,0
0x4dc90,99.946%,2,3705,3707,3705,2,0,0
0xffffffe0003ca4cc,99.6016%,2,500,502,500,2,0,0
0xffffffe0003ba4cc,99.596%,2,493,495,0,0,2,493
0x13ccc,99.9392%,2,3286,3288,0,0,2,3286
0xffffffe0002f30ec,99.8062%,1,515,516,515,1,0,0
0x13b44,99.9986%,1,70523,70524,0,0,1,70523
0x5015c,99.3711%,1,158,159,158,1,0,0
0xffffffe0003ce1a4,92.8571%,1,13,14,13,1,0,0
0x1427c,99.7912%,1,478,479,478,1,0,0
0xffffffe0002f6b10,99.8008%,1,501,502,0,0,1,501
0xffffffe0002f6b88,99.8008%,1,501,502,501,1,0,0
0xffffffe0003c3be8,92.8571%,1,13,14,13,1,0,0
0xffffffe0003c3964,92.8571%,1,13,14,13,1,0,0
0xffffffe0002f31fc,99.8008%,1,501,502,0,0,1,501
0xffffffe0003cdf48,92.8571%,1,13,14,13,1,0,0
0xffffffe0003c303c,99.8062%,1,515,516,515,1,0,0
0xffffffe0007743d8,99.8008%,1,501,502,501,1,0,0
0x14ab4,99.8873%,1,886,887,886,1,0,0
0x13d84,99.9696%,1,3287,3288,0,0,1,3287
0x800003c8,0%,1,0,1,0,1,0,0
0xffffffe00077122c,99.8012%,1,502,503,502,1,0,0
0x4de20,99.973%,1,3706,3707,3706,1,0,0
0x4c1e8,92.8571%,1,13,14,13,1,0,0
0x14b90,99.9624%,1,2660,2661,2660,1,0,0
0x4b924,99.9575%,1,2350,2351,0,0,1,2350
0xffffffe0003ce3a4,92.8571%,1,13,14,13,1,0,0
0x4b568,98.0392%,1,50,51,50,1,0,0
0xffffffe0002f6bac,99.8008%,1,501,502,501,1,0,0
0x4c770,66.6667%,1,2,3,2,1,0,0
0xffffffe0003cdf3c,92.8571%,1,13,14,13,1,0,0
0xffffffe000765714,92.8571%,1,13,14,13,1,0,0
0x4b7bc,99.3711%,1,158,159,158,1,0,0
0xffffffe00077117c,99.8012%,1,502,503,502,1,0,0
0xffffffe0003c3968,92.8571%,1,13,14,13,1,0,0
0x4c808,99.9436%,1,1773,1774,1773,1,0,0
0xffffffe0002f31c0,99.8062%,1,515,516,515,1,0,0
0xffffffe0003ad3f8,99.798%,1,494,495,461,1,0,33
0xffffffe0003abcbc,99.798%,1,494,495,494,1,0,0
0xffffffe0003ad3fc,96.9697%,1,32,33,32,1,0,0
0x4b8ac,99.3711%,1,158,159,158,1,0,0
0xffffffe0003cac64,0%,1,0,1,0,1,0,0
0xffffffe0003cdc54,92.8571%,1,13,14,13,1,0,0
0xffffffe0003cdb90,92.8571%,1,13,14,13,1,0,0
0x4dc7c,99.983%,1,5898,5899,0,0,1,5898
0x4c4b8,99.973%,1,3706,3707,0,0,1,3706
0xffffffe00032d284,96.4286%,1,27,28,27,1,0,0
0xffffffe0003cdfb4,92.8571%,1,13,14,13,1,0,0
0xffffffe00077113c,99.8012%,1,502,503,502,1,0,0
0xffffffe0003cdbf8,92.8571%,1,13,14,13,1,0,0
0xffffffe0003ba514,99.798%,1,494,495,494,1,0,0
0x4e390,99.9575%,1,2350,2351,2350,1,0,0
0xffffffe0003ca6d8,99.8008%,1,501,502,501,1,0,0
0xffffffe0003ad3bc,99.7868%,1,468,469,468,1,0,0
0xffffffe0003caa48,99.8008%,1,501,502,0,0,1,501
0xffffffe0003cd7e8,92.8571%,1,13,14,13,1,0,0
0xffffffe0003ca358,99.8008%,1,501,502,501,1,0,0
0xffffffe0003cd808,92.8571%,1,13,14,13,1,0,0
0x4cba8,99.973%,1,3708,3709,3708,1,0,0
0x4ccf8,99.973%,1,3706,3707,0,0,1,3706
0x4c4b0,99.973%,1,3706,3707,0,0,1,3706
0x4de0c,99.973%,1,3706,3707,0,0,1,3706
0xffffffe00055488c,92.8571%,1,13,14,13,1,0,0
0x14cf0,99.9284%,1,1395,1396,0,0,1,1395
0xffffffe0003ce3d4,92.8571%,1,13,14,13,1,0,0
0x13f88,99.9464%,1,1863,1864,1863,1,0,0
0xffffffe0003ce44c,92.8571%,1,13,14,13,1,0,0
0xffffffe0003ce1d4,92.8571%,1,13,14,13,1,0,0
0xffffffe0003cdbcc,92.8571%,1,13,14,13,1,0,0
0xffffffe0003a4cb8,99.7984%,1,495,496,495,1,0,0
0xffffffe0003cdd70,92.8571%,1,13,14,13,1,0,0
0xffffffe0003cd4fc,97.0588%,1,33,34,9,1,0,24
0x14b6c,99.9624%,1,2660,2661,0,0,1,2660
0x80000054,0%,1,0,1,0,1,0,0
0xffffffe0003cd7b4,92.8571%,1,13,14,13,1,0,0
0xffffffe0003c2ff4,95.8333%,1,23,24,23,1,0,0
0x4caf4,66.6667%,1,2,3,2,1,0,0
0xffffffe0003ca42c,99.8004%,1,500,501,500,1,0,0
0x4cd6c,99.9483%,1,1932,1933,1932,1,0,0
0x14d40,99.9284%,1,1395,1396,0,0,1,1395
0xffffffe0003ce0cc,92.8571%,1,13,14,13,1,0,0
0x13db0,99.9693%,1,3253,3254,3253,1,0,0
0xffffffe0003a49bc,0%,1,0,1,0,1,0,0
0x13c70,99.9088%,1,1095,1096,1095,1,0,0
0xffffffe0003cdedc,92.8571%,1,13,14,13,1,0,0
0xffffffe0003a43b0,96.9697%,1,32,33,32,1,0,0
0xffffffe0003a4334,96.9697%,1,32,33,32,1,0,0
0x501c0,99.3711%,1,158,159,158,1,0,0
0xffffffe0003d4a0c,99.8008%,1,501,502,501,1,0,0
0xffffffe0007743cc,99.8008%,1,501,502,0,0,1,501
0xffffffe0003cde9c,92.8571%,1,13,14,0,0,1,13
0xffffffe000554904,92.8571%,1,13,14,0,0,1,13
0x4cbc0,96.875%,1,31,32,0,0,1,31
0xffffffe0003ce548,92.8571%,1,13,14,13,1,0,0
0x4bd90,92.8571%,1,13,14,13,1,0,0
0x13cd4,99.9696%,1,3287,3288,0,0,1,3287
0xffffffe00032d230,99.8008%,1,501,502,501,1,0,0
0xffffffe0003a4ae4,93.75%,1,15,16,15,1,0,0
0xffffffe0003d0724,92.8571%,1,13,14,13,1,0,0
0xffffffe0003ca6c8,99.8008%,1,501,502,0,1,0,501
0xffffffe0003c3b54,92.8571%,1,13,14,13,1,0,0
0x142ac,99.8379%,1,616,617,616,1,0,0
0xffffffe0003abc8c,99.798%,1,494,495,494,1,0,0
0xffffffe0007658f8,92.8571%,1,13,14,13,1,0,0
0x4cb60,66.6667%,1,2,3,0,0,1,2
0x4cb54,66.6667%,1,2,3,0,0,1,2
0x4c744,66.6667%,1,2,3,2,1,0,0
0xffffffe0003c3898,92.8571%,1,13,14,13,1,0,0
0x4c05c,92.8571%,1,13,14,13,1,0,0
0x4c720,66.6667%,1,2,3,2,1,0,0
0xffffffe0003cd350,92.8571%,1,13,14,13,1,0,0
0xffffffe0003a4820,99.8012%,1,502,503,502,1,0,0
0x4ba34,99.3711%,1,158,159,158,1,0,0
0xffffffe0003cdeb8,92.8571%,1,13,14,0,0,1,13
0x4de18,99.973%,1,3706,3707,0,0,1,3706
0xffffffe0003d494c,99.8008%,1,501,502,501,1,0,0
0x168e0,99.9088%,1,1095,1096,1095,1,0,0
0x4b320,98.0392%,1,50,51,50,1,0,0
0x138b4,99.9996%,1,240956,240957,0,0,1,240956
0xffffffe0003cd304,92.8571%,1,13,14,13,1,0,0
0xffffffe0003d0834,92.8571%,1,13,14,13,1,0,0
0x138b0,99.9996%,1,240956,240957,0,0,1,240956
0xffffffe0002f6b58,99.8008%,1,501,502,501,1,0,0
0xffffffe0003cfe60,92.8571%,1,13,14,13,1,0,0
0xffffffe0003b155c,99.798%,1,494,495,494,1,0,0
0xffffffe0003ba538,99.798%,1,494,495,494,1,0,0
0xffffffe0002f6bf0,99.8008%,1,501,502,501,1,0,0
0x4c4dc,99.9436%,1,1773,1774,1773,1,0,0
0xffffffe0003ba508,99.798%,1,494,495,494,1,0,0
0xffffffe0003abec8,96.9697%,1,32,33,32,1,0,0
