Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,92.4471%,639292,7824952,8464244,4201193,108201,531091,3623759
0x1bef8,81.0411%,391223,1672312,2063535,1601060,48263,342960,71252
0x1bf40,88.2688%,242077,1821459,2063536,1591859,58276,183801,229600
0x1bf50,99.3067%,2866,410535,413401,410535,26,2840,0
0x1c230,64.0659%,502,895,1397,60,421,81,835
0x1c294,77.1609%,362,1223,1585,176,251,111,1047
0x1c228,79.2627%,360,1376,1736,26,313,47,1350
0x1c45c,79.2264%,290,1106,1396,812,126,164,294
0x1c2e8,83.0391%,269,1317,1586,1141,94,175,176
0x1c380,83.0284%,269,1316,1585,1277,52,217,39
0x1c238,73.4716%,243,673,916,650,40,203,23
0x1c410,83.0786%,155,761,916,547,69,86,214
0x1c334,91.4196%,136,1449,1585,1212,55,81,237
0x1c26c,94.345%,79,1318,1397,1200,39,40,118
0x1c4b0,72.5664%,62,164,226,96,27,35,68
0x1c36c,64.8148%,38,70,108,44,15,23,26
0x1c3fc,74.3119%,28,81,109,23,11,17,58
0x1c494,71.4286%,24,60,84,43,5,19,17
0x1beec,99.9989%,23,2063513,2063536,0,0,23,2063513
0x1c320,77.8947%,21,74,95,26,8,13,48
0x1bf18,99.9949%,21,414188,414209,0,0,21,414188
0x1bf0c,99.9957%,18,414194,414212,0,4,14,414194
0x1c3b8,75.3623%,17,52,69,12,5,12,40
0x1c2c4,98.9918%,16,1571,1587,1571,7,9,0
0x1bed0,99.9961%,16,413385,413401,0,0,16,413385
0x1c3c8,97.6581%,10,417,427,315,3,7,102
0x1c460,98.2533%,8,450,458,370,4,4,80
0x1c338,97.4843%,8,310,318,209,1,7,101
0x1c2a4,99.4953%,8,1577,1585,1577,7,1,0
0x1c2ec,98.0057%,7,344,351,255,1,6,89
0x161a4,99.9988%,7,576851,576858,576851,1,6,0
0x1c2d0,99.5589%,7,1580,1587,1579,6,1,1
0x1c384,97.2656%,7,249,256,185,2,5,64
0x1c09c,99.5775%,6,1414,1420,0,2,4,1414
0x1c288,99.6544%,6,1730,1736,0,4,2,1730
0x1c0bc,99.5769%,6,1412,1418,0,2,4,1412
0x1c2bc,99.6849%,5,1582,1587,1582,3,2,0
0x1c0b4,99.6474%,5,1413,1418,0,0,5,1413
0x1c270,99.7696%,4,1732,1736,0,0,4,1732
0x1c448,66.6667%,4,8,12,7,1,3,1
0x1c670,33.3333%,4,2,6,1,3,1,1
0x1c0ec,99.7187%,4,1418,1422,1418,2,2,0
0x4cd94,0%,4,0,4,0,2,2,0
0x1c2b0,99.811%,3,1584,1587,1584,1,2,0
0x10b30,50%,3,3,6,0,2,1,3
0x4cd6c,25%,3,1,4,0,2,1,1
0x4a29c,25%,3,1,4,1,2,1,0
0x1c414,99%,3,297,300,286,2,1,11
0x10b38,50%,3,3,6,0,2,1,3
0x4c750,25%,3,1,4,0,0,3,1
0x4cd74,0%,2,0,2,0,2,0,0
0x1c264,99.8568%,2,1395,1397,1394,2,0,1
0x10afc,71.4286%,2,5,7,0,1,1,5
0x4cdc0,0%,2,0,2,0,1,1,0
0x4a028,71.4286%,2,5,7,1,2,0,4
0x4b8ac,50%,2,2,4,2,2,0,0
0x1be68,99.9296%,2,2838,2840,0,0,2,2838
0x4cfd0,50%,1,1,2,1,1,0,0
0x4d3d4,0%,1,0,1,0,1,0,0
0x4caf4,75%,1,3,4,3,1,0,0
0x4cbd4,50%,1,1,2,1,1,0,0
0x4d0f4,50%,1,1,2,1,1,0,0
0x1bfc8,75%,1,3,4,3,1,0,0
0x4dc4c,75%,1,3,4,0,0,1,3
0x800003c8,0%,1,0,1,0,1,0,0
0x4c4c4,75%,1,3,4,3,1,0,0
0x1c1ac,75%,1,3,4,3,1,0,0
0x4dc90,75%,1,3,4,3,1,0,0
0x4b800,75%,1,3,4,3,1,0,0
0x1c244,99.5575%,1,225,226,225,1,0,0
0x4b7bc,75%,1,3,4,3,1,0,0
0x4ba34,75%,1,3,4,3,1,0,0
0x4b980,75%,1,3,4,3,1,0,0
0x4c788,75%,1,3,4,1,1,0,2
0x4e390,75%,1,3,4,3,1,0,0
0x4cda8,50%,1,1,2,1,1,0,0
0x4c720,75%,1,3,4,3,1,0,0
0x1c254,99.8908%,1,915,916,915,1,0,0
0x4cb68,75%,1,3,4,3,1,0,0
0x80000054,0%,1,0,1,0,1,0,0
0x4e380,75%,1,3,4,0,0,1,3
0x4cf64,50%,1,1,2,1,1,0,0
0x10b70,85.7143%,1,6,7,6,1,0,0
0x4cde8,0%,1,0,1,0,1,0,0
0x4de20,75%,1,3,4,3,1,0,0
0x4ba2c,75%,1,3,4,0,0,1,3
0x4d0e8,50%,1,1,2,1,1,0,0
0x1c090,83.3333%,1,5,6,5,1,0,0
0x16170,83.3333%,1,5,6,5,1,0,0
