Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
0x1c270,99.7175%,2,706,708,0,0,2,706
0x1c414,97.0149%,2,65,67,63,1,1,2
0x1c2a4,99.8413%,1,629,630,629,1,0,0
0x1c254,99.7312%,1,371,372,371,1,0,0
0x4d3d4,0%,1,0,1,0,1,0,0
0x1c2c4,99.8415%,1,630,631,630,1,0,0
0x4ba34,0%,1,0,1,0,1,0,0
0x4b7bc,0%,1,0,1,0,1,0,0
0x4c4c4,0%,1,0,1,0,1,0,0
0x1bfc8,87.5%,1,7,8,7,1,0,0
0x4cdc0,0%,1,0,1,0,1,0,0
0x4a030,0%,1,0,1,0,1,0,0
0x4b800,0%,1,0,1,0,1,0,0
0x4caf4,0%,1,0,1,0,1,0,0
0x4c4b0,0%,1,0,1,0,0,1,0
0x16170,93.75%,1,15,16,15,1,0,0
0x4c65c,0%,1,0,1,0,1,0,0
0x4b968,85.7143%,1,6,7,0,0,1,6
0x1c244,99.0196%,1,101,102,101,1,0,0
0x4b980,0%,1,0,1,0,1,0,0
0x4e390,87.5%,1,7,8,7,1,0,0
0x4cd74,0%,1,0,1,0,1,0,0
0x1c1ac,87.5%,1,7,8,7,1,0,0
0x4de20,0%,1,0,1,0,1,0,0
0x4cb68,0%,1,0,1,0,1,0,0
0x4b8ac,0%,1,0,1,0,1,0,0
0x1c090,93.3333%,1,14,15,14,1,0,0
0x4b974,85.7143%,1,6,7,6,1,0,0
0x80000054,0%,1,0,1,0,1,0,0
0x10b70,93.75%,1,15,16,15,1,0,0
0x4c738,0%,1,0,1,0,1,0,0
0x4c720,0%,1,0,1,0,1,0,0
0x800003c8,0%,1,0,1,0,1,0,0
0x4c6e4,100%,0,1,1,0,0,0,1
0x4de18,100%,0,1,1,0,0,0,1
0x4b924,100%,0,8,8,0,0,0,8
0x4c708,100%,0,1,1,0,0,0,1
0x4b91c,100%,0,8,8,0,0,0,8
0x49998,100%,0,1,1,0,0,0,1
0x4a010,100%,0,1,1,0,0,0,1
0x4b938,100%,0,8,8,0,0,0,8
0x4c48c,100%,0,1,1,0,0,0,1
0x4c63c,100%,0,1,1,0,0,0,1
0x4de0c,100%,0,1,1,0,0,0,1
0x4c694,100%,0,1,1,0,0,0,1
0x4c6ec,100%,0,1,1,0,0,0,1
0x4c710,100%,0,1,1,0,0,0,1
0x4c718,100%,0,1,1,0,0,0,1
0x4c730,100%,0,1,1,0,0,0,1
0x4dc4c,100%,0,8,8,0,0,0,8
0x10b14,100%,0,16,16,0,0,0,16
0x4cb54,100%,0,1,1,0,0,0,1
0x4e374,100%,0,8,8,0,0,0,8
0x4cb5c,100%,0,1,1,0,0,0,1
0x4cb60,100%,0,1,1,0,0,0,1
0x4cd6c,100%,0,1,1,0,0,0,1
0x1c068,100%,0,15,15,0,0,0,15
0x4b90c,100%,0,8,8,0,0,0,8
0x1c6b4,100%,0,8,8,0,0,0,8
0x4dc7c,100%,0,8,8,0,0,0,8
0x16180,100%,0,16,16,0,0,0,16
0x4c67c,100%,0,1,1,0,0,0,1
0x4dc50,100%,0,8,8,0,0,0,8
0x1c658,100%,0,16,16,0,0,0,16
0x4c4b8,100%,0,1,1,0,0,0,1
0x80000578,100%,0,1,1,0,0,0,1
0x1c1fc,100%,0,708,708,0,0,0,708
0x4ba2c,100%,0,1,1,0,0,0,1
0x4dc90,100%,0,1,1,1,0,0,0
0x80000034,100%,0,1,1,0,0,0,1
0x4b7a4,100%,0,1,1,0,0,0,1
0x4b7cc,100%,0,1,1,0,0,0,1
0x4b7d8,100%,0,1,1,0,0,0,1
0x4b7e8,100%,0,1,1,0,0,0,1
0x4b7f4,100%,0,1,1,0,0,0,1
0x4a28c,100%,0,1,1,0,0,0,1
0x4a29c,100%,0,1,1,0,0,0,1
0x4a2bc,100%,0,1,1,0,0,0,1
0x4c6f0,100%,0,1,1,0,0,0,1
0x4a018,100%,0,1,1,0,0,0,1
0x4e380,100%,0,8,8,0,0,0,8
0x4e344,100%,0,8,8,0,0,0,8
0x4cda8,100%,0,1,1,0,0,0,1
0x4cd9c,100%,0,1,1,0,0,0,1
0x4ddac,100%,0,7,7,0,0,0,7
0x10afc,100%,0,16,16,0,0,0,16
0x4c6b4,100%,0,1,1,0,0,0,1
0x4a000,100%,0,1,1,0,0,0,1
0x800003e8,100%,0,1,1,0,0,0,1
0x4b900,100%,0,8,8,0,0,0,8
0x4a2cc,100%,0,1,1,0,0,0,1
0x1c448,100%,0,3,3,0,0,0,3
0x4c6dc,100%,0,1,1,0,0,0,1
0x4ddbc,100%,0,7,7,0,0,0,7
0x4dc64,100%,0,8,8,0,0,0,8
0x4a028,100%,0,1,1,0,0,0,1
0x4b840,100%,0,1,1,0,0,0,1
0x1c2e0,100%,0,1,1,0,0,0,1
0x4c6fc,100%,0,1,1,0,0,0,1
