Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,82.4729%,1540473,7248626,8789099,4274758,674158,866315,2973868
0x1caac,62.9127%,159527,270612,430139,263099,8453,151074,7513
0x1ca50,71.6708%,155772,394091,549863,121196,94638,61134,272895
0x1c9b8,72.8681%,149189,400676,549865,107615,105355,43834,293061
0x1c894,74.1767%,141993,407871,549864,153693,85916,56077,254178
0x1c920,76.0008%,131963,417902,549865,101876,97130,34833,316026
0x1ca0c,76.4545%,129468,420395,549863,117893,85175,44293,302502
0x1c8d8,82.5755%,95811,454054,549865,174848,64130,31681,279206
0x1ca98,83.1267%,92780,457083,549863,49699,70025,22755,407384
0x1c970,84.0734%,87575,462290,549865,183979,56592,30983,278311
0x1c934,77.5767%,78674,272185,350859,270575,1796,76878,1610
0x1ca1c,78.4726%,74656,272139,346795,271055,1264,73392,1084
0x1c9cc,80.5705%,65457,271438,336895,270445,1173,64284,993
0x1ca60,81.6348%,61345,272684,334029,271985,821,60524,699
0x1c8a4,87.5983%,38477,271779,310256,271651,194,38283,128
0x1c8e8,87.7882%,37965,272922,310887,272848,117,37848,74
0x1c980,87.8404%,37609,271685,309294,270994,784,36825,691
0x1cae4,99.781%,1204,548658,549862,548658,42,1162,0
0x11f50,58.4158%,294,413,707,54,224,70,359
0x11cc0,63.1902%,120,206,326,97,55,65,109
0x11cf0,57.0866%,109,145,254,100,44,65,45
0x1cad8,99.9898%,56,549806,549862,549806,56,0,0
0x11d0c,58.0153%,55,76,131,46,31,24,30
0x11df4,71.0526%,44,108,152,50,30,14,58
0x11f58,91.7431%,36,400,436,11,30,6,389
0x1c90c,99.9051%,36,37886,37922,0,0,36,37886
0x1c958,99.9656%,27,78461,78488,0,0,27,78461
0x11e1c,66.2338%,26,51,77,13,9,17,38
0x1ca84,99.9608%,24,61199,61223,0,0,24,61199
0x11f64,86.1111%,20,124,144,4,17,3,120
0x1cad0,99.9886%,18,158569,158587,0,1,17,158569
0x1ca40,99.9785%,16,74460,74476,0,0,16,74460
0x1c9a4,99.9627%,14,37502,37516,0,0,14,37502
0x1c9f0,99.9816%,12,65265,65277,0,1,11,65265
0x11d3c,92.6606%,8,101,109,99,5,3,2
0x11ca4,57.1429%,6,8,14,4,3,3,4
0x1c8c8,99.987%,5,38406,38411,0,0,5,38406
0x1c86c,99.5704%,5,1159,1164,0,0,5,1159
0x1cc10,99.3139%,4,579,583,579,4,0,0
0x11f10,99.4452%,4,717,721,12,2,2,705
0x1cbe0,99.4836%,3,578,581,0,0,3,578
0x1cbbc,99.4854%,3,580,583,0,1,2,580
0x11cc4,98.8189%,3,251,254,251,2,1,0
0x1cbe4,99.4836%,3,578,581,1,0,3,577
0x11c5c,99.5839%,3,718,721,718,3,0,0
0x11d58,40%,3,2,5,1,2,1,1
0x12a48,0%,2,0,2,0,2,0,0
0x4dc88,0%,2,0,2,0,1,1,0
0x11e80,99.7226%,2,719,721,719,0,2,0
0x1203c,85.7143%,2,12,14,6,2,0,6
0x11d8c,60%,2,3,5,3,2,0,0
0x12b00,50%,1,1,2,1,1,0,0
0x4e390,50%,1,1,2,1,1,0,0
0x4c720,0%,1,0,1,0,1,0,0
0x111e8,50%,1,1,2,0,0,1,1
0x4caf4,0%,1,0,1,0,1,0,0
0x4e380,50%,1,1,2,0,0,1,1
0x4a2cc,0%,1,0,1,0,0,1,0
0x4c6e4,0%,1,0,1,0,0,1,0
0x80000054,0%,1,0,1,0,1,0,0
0x4b974,0%,1,0,1,0,1,0,0
0x4b968,0%,1,0,1,0,0,1,0
0x10f78,50%,1,1,2,1,1,0,0
0x4dc90,0%,1,0,1,0,1,0,0
0x4cf60,0%,1,0,1,0,0,1,0
0x4b950,50%,1,1,2,0,1,0,1
0x1c728,75%,1,3,4,0,0,1,3
0x4b7bc,0%,1,0,1,0,1,0,0
0x11e20,98.1818%,1,54,55,54,1,0,0
0x800003c8,0%,1,0,1,0,1,0,0
0x4b7cc,0%,1,0,1,0,0,1,0
0x1cecc,0%,1,0,1,0,0,1,0
0x4cbcc,50%,1,1,2,1,0,1,0
0x4cfd0,0%,1,0,1,0,1,0,0
0x11f8c,80%,1,4,5,4,1,0,0
0x4cfa0,0%,1,0,1,0,1,0,0
0x4cb60,0%,1,0,1,0,0,1,0
0x4cf64,0%,1,0,1,0,1,0,0
0x4c788,0%,1,0,1,0,1,0,0
0x4cbac,0%,1,0,1,0,0,1,0
0x12abc,50%,1,1,2,1,1,0,0
0x4c744,0%,1,0,1,0,1,0,0
0x4d0f4,0%,1,0,1,0,1,0,0
0x1cfa0,75%,1,3,4,2,1,0,1
0x4cbd4,0%,1,0,1,0,1,0,0
0x4b7e8,0%,1,0,1,0,0,1,0
0x4b800,0%,1,0,1,0,1,0,0
0x4d0ac,0%,1,0,1,0,0,1,0
0x4a028,50%,1,1,2,0,1,0,1
0x4c65c,0%,1,0,1,0,1,0,0
0x4a044,0%,1,0,1,0,0,1,0
0x4a29c,0%,1,0,1,0,1,0,0
0x4c730,100%,0,1,1,0,0,0,1
0x4c6ec,100%,0,1,1,0,0,0,1
0x10f38,100%,0,2,2,0,0,0,2
0x4c6f0,100%,0,1,1,0,0,0,1
0x4c6dc,100%,0,1,1,0,0,0,1
0x4c6fc,100%,0,1,1,0,0,0,1
0x4c710,100%,0,1,1,0,0,0,1
0x4c738,100%,0,1,1,0,0,0,1
0x1cc8c,100%,0,1,1,0,0,0,1
0x4b90c,100%,0,2,2,0,0,0,2
0x4a2bc,100%,0,1,1,0,0,0,1
0x4b900,100%,0,2,2,0,0,0,2
0x4c784,100%,0,1,1,0,0,0,1
0x1d06c,100%,0,1,1,0,0,0,1
0x1cf6c,100%,0,4,4,0,0,0,4
0x12ab8,100%,0,2,2,0,0,0,2
0x4c770,100%,0,1,1,0,0,0,1
0x1cf68,100%,0,4,4,0,0,0,4
0x1cf7c,100%,0,4,4,0,0,0,4
0x1cf84,100%,0,4,4,0,0,0,4
0x4c694,100%,0,1,1,0,0,0,1
0x10ef0,100%,0,2,2,0,0,0,2
0x1cfb0,100%,0,1,1,0,0,0,1
0x4b91c,100%,0,2,2,0,0,0,2
0x12a9c,100%,0,2,2,0,0,0,2
0x4b938,100%,0,2,2,0,0,0,2
0x4c708,100%,0,1,1,0,0,0,1
0x1cb3c,100%,0,2,2,0,0,0,2
0x4c48c,100%,0,1,1,0,0,0,1
0x4b924,100%,0,2,2,0,0,0,2
0x4d13c,100%,0,1,1,0,0,0,1
0x4c4b0,100%,0,1,1,0,0,0,1
0x4cbc0,100%,0,1,1,0,0,0,1
0x12adc,100%,0,2,2,0,0,0,2
0x4c67c,100%,0,1,1,0,0,0,1
0x4dc50,100%,0,2,2,0,0,0,2
0x4c4b8,100%,0,1,1,0,0,0,1
0x4b8ac,100%,0,1,1,1,0,0,0
0x4a04c,100%,0,1,1,0,0,0,1
0x80000578,100%,0,1,1,0,0,0,1
0x11f08,100%,0,721,721,0,0,0,721
0x4ddac,100%,0,1,1,0,0,0,1
0x4cb54,100%,0,1,1,0,0,0,1
0x4cd6c,100%,0,1,1,0,0,0,1
0x4cd74,100%,0,1,1,0,0,0,1
0x4cba8,100%,0,1,1,0,0,0,1
0x4b840,100%,0,1,1,0,0,0,1
0x4a018,100%,0,2,2,0,0,0,2
0x4a030,100%,0,1,1,0,0,0,1
0x4a038,100%,0,1,1,0,0,0,1
0x4d0e8,100%,0,1,1,1,0,0,0
0x4de0c,100%,0,1,1,0,0,0,1
0x4de18,100%,0,1,1,0,0,0,1
0x4de20,100%,0,1,1,1,0,0,0
0x4b980,100%,0,1,1,1,0,0,0
0x4ba2c,100%,0,1,1,0,0,0,1
0x4ba34,100%,0,1,1,1,0,0,0
0x4b7a4,100%,0,1,1,0,0,0,1
0x4b7d8,100%,0,1,1,0,0,0,1
0x4a28c,100%,0,1,1,0,0,0,1
0x1c72c,100%,0,4,4,0,0,0,4
0x111e0,100%,0,2,2,0,0,0,2
0x11f80,100%,0,3,3,3,0,0,0
0x11d60,100%,0,5,5,0,0,0,5
0x11e48,100%,0,104,104,0,0,0,104
0x1cec8,100%,0,1,1,0,0,0,1
0x4cb68,100%,0,1,1,1,0,0,0
0x4c6b4,100%,0,1,1,0,0,0,1
0x800003e8,100%,0,1,1,0,0,0,1
0x4a000,100%,0,2,2,0,0,0,2
0x4e374,100%,0,2,2,0,0,0,2
0x4cb5c,100%,0,1,1,0,0,0,1
0x11d10,100%,0,54,54,0,0,0,54
0x4d0c0,100%,0,1,1,0,0,0,1
0x4e344,100%,0,2,2,0,0,0,2
0x4c4c4,100%,0,1,1,1,0,0,0
0x4d0d0,100%,0,1,1,0,0,0,1
0x11c24,100%,0,2,2,0,0,0,2
0x4b7f4,100%,0,1,1,0,0,0,1
0x4c718,100%,0,1,1,0,0,0,1
0x4dc4c,100%,0,2,2,0,0,0,2
0x4a010,100%,0,2,2,0,0,0,2
0x4c63c,100%,0,1,1,0,0,0,1
0x1ceb8,100%,0,1,1,0,0,0,1
0x4ddbc,100%,0,1,1,0,0,0,1
0x4dc7c,100%,0,2,2,0,0,0,2
0x80000034,100%,0,1,1,0,0,0,1
0x4dc64,100%,0,2,2,0,0,0,2
