Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,85.5603%,1264923,7495090,8760013,4816792,540370,724553,2678298
0x1ca50,73.427%,157864,436213,594077,298495,49030,108834,137718
0x1c9b8,77.2172%,135348,458731,594079,308119,47134,88214,150612
0x1caac,69.4389%,116619,264974,381593,126625,75638,40981,138349
0x1ca98,80.4783%,115974,478103,594077,165924,46560,69414,312179
0x1c920,82.3909%,104612,489468,594080,275038,44641,59971,214430
0x1c894,83.8762%,95788,498292,594080,319894,42253,53535,178398
0x1ca0c,84.5522%,91772,502308,594080,214266,36394,55378,288042
0x1ca1c,74.0895%,88982,254438,343420,142487,57630,31352,111951
0x1c8d8,88.6261%,67570,526510,594080,331935,37009,30561,194575
0x1c934,79.4899%,56280,218121,274401,174220,26015,30265,43901
0x1c970,91.0327%,53273,540806,594079,324644,25320,27953,216162
0x1ca60,82.4706%,43219,203333,246552,183473,14371,28848,19860
0x1c9cc,84.4171%,37216,201610,238826,182754,12712,24504,18856
0x1c980,85.0702%,36446,207669,244115,178022,17392,19054,29647
0x1c8a4,87.3114%,29429,202504,231933,199460,2824,26605,3044
0x1c8e8,88.3235%,26288,198848,225136,193913,4011,22277,4935
0x1cae4,99.1632%,4971,589105,594076,589055,95,4876,50
0x11ca4,63.6943%,456,800,1256,653,113,343,147
0x11cc0,68.2493%,428,920,1348,532,177,251,388
0x11cf0,68.8345%,369,815,1184,586,141,228,229
0x11f50,70.1477%,283,665,948,67,228,55,598
0x11d0c,78.072%,207,737,944,679,60,147,58
0x11f58,87.8788%,172,1247,1419,477,86,86,770
0x11d3c,74.8418%,159,473,632,454,38,121,19
0x11d58,56.1129%,140,179,319,154,52,88,25
0x11df4,82.3695%,125,584,709,502,43,82,82
0x11f64,86.2448%,100,627,727,428,59,41,199
0x11d8c,66.0584%,93,181,274,162,32,61,19
0x1cad8,99.9886%,68,594008,594076,594008,68,0,0
0x11e1c,93.2341%,50,689,739,280,32,18,409
0x11f10,97.6221%,37,1519,1556,594,14,23,925
0x11e48,92.6829%,36,456,492,165,14,22,291
0x11f08,97.723%,36,1545,1581,8,17,19,1537
0x11f80,83.0097%,35,171,206,152,9,26,19
0x11f8c,82.4742%,34,160,194,42,18,16,118
