Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,97.2706%,142968,5095102,5238070,1827341,62859,80109,3267761
0x17830,87.5988%,51907,366656,418563,294199,17274,34633,72457
0x178e8,88.2794%,25082,188917,213999,86444,13204,11878,102473
0x179e8,90.6816%,17644,171701,189345,78202,9681,7963,93499
0x17a74,92.7147%,15592,198429,214021,99627,7994,7598,98802
0x17b60,92.6101%,7913,99166,107079,42844,3780,4133,56322
0x17a7c,93.9793%,6406,99994,106400,79170,2554,3852,20824
0x17dd4,95.8343%,4151,95497,99648,21461,1773,2378,74036
0x17aa8,96.892%,3498,109050,112548,65844,1626,1872,43206
0x17c7c,96.7709%,3458,103631,107089,58560,1445,2013,45071
0x17d18,94.8321%,3101,56904,60005,39891,1679,1422,17013
0x17e3c,93.6706%,2951,43673,46624,29230,1349,1602,14443
0x18454,99.6469%,369,104139,104508,104128,35,334,11
0x178c0,99.953%,151,320960,321111,107002,88,63,213958
0x18338,72.4638%,95,250,345,3,82,13,247
0x17ac0,99.9561%,94,213927,214021,106875,57,37,107052
0x18340,65.3846%,90,170,260,19,66,24,151
0x18348,54.8571%,79,96,175,32,47,32,64
0x178d0,99.9794%,44,213977,214021,4,18,26,213973
0x17b08,99.9701%,32,107057,107089,1,16,16,107056
0x17b44,99.9757%,26,107064,107090,0,11,15,107064
0x178bc,99.9925%,24,321087,321111,0,0,24,321087
0x17aa0,99.9189%,20,24656,24676,1,10,10,24655
0x17974,99.9833%,18,107603,107621,0,0,18,107603
0x17cf8,99.9832%,18,107071,107089,107071,18,0,0
0x17cf0,99.9841%,17,107072,107089,0,0,17,107072
0x17bd8,99.9841%,17,107072,107089,107072,17,0,0
0x17bd4,99.9824%,16,91017,91033,0,0,16,91017
0x178fc,99.9869%,15,114336,114351,0,0,15,114336
0x17894,99.9869%,14,107076,107090,0,0,14,107076
0x17b48,99.9879%,13,107066,107079,0,0,13,107066
0x17a5c,99.9923%,13,168930,168943,168930,13,0,0
0x1795c,99.9944%,12,213987,213999,213987,12,0,0
0x17ab8,99.9778%,10,45068,45078,0,0,10,45068
0x179fc,99.9911%,9,101464,101473,0,0,9,101464
0x17c64,99.9925%,8,107081,107089,0,0,8,107081
0x17c90,99.983%,8,47076,47084,0,0,8,47076
0x17b74,99.9868%,8,60447,60455,0,0,8,60447
0x179a4,99.9926%,8,107613,107621,0,0,8,107613
0x17ac4,99.9935%,7,107082,107089,0,0,7,107082
0x17a2c,99.9931%,7,101466,101473,0,0,7,101466
0x1792c,99.9948%,6,114345,114351,0,0,6,114345
0x17ba4,99.995%,3,60452,60455,0,0,3,60452
0x17e4c,99.9813%,3,16042,16045,16042,3,0,0
0x18474,99.1304%,3,342,345,342,3,0,0
0x17cc0,99.9936%,3,47081,47084,0,0,3,47081
0x18294,99.7101%,1,344,345,0,0,1,344
0x80000054,0%,1,0,1,0,1,0,0
0x182c0,99.7101%,1,344,345,344,1,0,0
0x800003c8,0%,1,0,1,0,1,0,0
0x17e28,94.1176%,1,16,17,16,1,0,0
0x80000578,100%,0,1,1,0,0,0,1
0x1830c,100%,0,345,345,0,0,0,345
0x80000034,100%,0,1,1,0,0,0,1
0x800003e8,100%,0,1,1,0,0,0,1
0x183bc,100%,0,260,260,0,0,0,260
