Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,85.262%,1291119,7469376,8760495,4792432,552108,739011,2676944
0x1ca50,74.0376%,154014,439205,593219,293067,49729,104285,146138
0x1c9b8,76.3536%,140275,452944,593219,301777,48829,91446,151167
0x1caac,68.4296%,124465,269781,394246,123388,80548,43917,146393
0x1ca98,81.3061%,110896,482323,593219,152995,45979,64917,329328
0x1c920,81.516%,109651,483570,593221,267951,46273,63378,215619
0x1c894,83.2435%,99403,493819,593222,315192,43855,55548,178627
0x1ca0c,83.4215%,98347,494872,593219,221631,40854,57493,273241
0x1ca1c,74.8305%,83244,247490,330734,151851,50588,32656,95639
0x1c8d8,88.0107%,71123,522099,593222,325609,38721,32402,196490
0x1c934,78.7277%,59349,219648,278997,175581,27014,32335,44067
0x1c970,90.4216%,56821,536398,593219,322435,28033,28788,213963
0x1ca60,82.1195%,44777,205646,250423,184391,15470,29307,21255
0x1c9cc,83.9399%,38964,203649,242613,185489,12433,26531,18160
0x1c980,85.6075%,34938,207813,242751,182728,15106,19832,25085
0x1c8a4,87.2664%,29819,204356,234175,201115,2853,26966,3241
0x1c8e8,87.7925%,27942,200950,228892,195452,4489,23453,5498
0x1cae4,99.2257%,4593,588625,593218,588593,98,4495,32
0x11f50,62.6572%,475,797,1272,63,400,75,734
0x11cc0,67.1079%,323,659,982,370,128,195,289
0x11cf0,64.3853%,281,508,789,407,99,182,101
0x11ca4,63.3663%,259,448,707,429,38,221,19
0x11f58,86.8339%,168,1108,1276,161,118,50,947
0x11df4,74.6988%,126,372,498,246,59,67,126
0x11d0c,80.7477%,103,432,535,383,43,60,49
0x11f64,82.6087%,88,418,506,207,45,43,211
0x1cad8,99.9885%,68,593150,593218,593150,68,0,0
0x11e1c,89.9061%,43,383,426,276,17,26,107
0x11d3c,87.1901%,31,211,242,207,14,17,4
0x11f10,97.894%,31,1441,1472,182,18,13,1259
0x11cc4,96.3245%,29,760,789,533,9,20,227
0x1c958,99.966%,26,76376,76402,0,2,24,76376
0x1c90c,99.9136%,25,28926,28951,0,1,24,28926
0x11e48,89.5928%,23,198,221,7,12,11,191
0x1ca40,99.9836%,21,128274,128295,0,0,21,128274
0x1cad0,99.99%,19,190291,190310,0,2,17,190291
0x1c9f0,99.9575%,19,44672,44691,0,0,19,44672
0x1203c,91%,18,182,200,53,12,6,129
0x11c5c,99.141%,17,1962,1979,1486,9,8,476
0x11d58,62.5%,15,25,40,16,11,4,9
0x1cbe0,99.4255%,13,2250,2263,0,1,12,2250
0x11f08,99.2642%,11,1484,1495,20,3,8,1464
0x1c9a4,99.9755%,11,44906,44917,0,0,11,44906
0x1cc10,99.5593%,10,2259,2269,2259,7,3,0
0x1cfa0,44.4444%,10,8,18,3,6,4,5
0x1ca84,99.9802%,10,50552,50562,0,0,10,50552
0x1c8c8,99.9669%,10,30197,30207,0,0,10,30197
0x1c86c,99.7793%,10,4522,4532,0,0,10,4522
0x11e80,99.5452%,9,1970,1979,1970,4,5,0
0x1cbbc,99.6028%,9,2257,2266,0,2,7,2257
0x11f80,66.6667%,9,18,27,7,3,6,11
0x11d8c,65.2174%,8,15,23,14,3,5,1
0x11190,22.2222%,7,2,9,0,4,3,2
0x1ceb8,60%,6,9,15,2,2,4,7
0x1cbe4,99.7347%,6,2256,2262,1,2,4,2255
0x11198,44.4444%,5,4,9,0,4,1,4
0x1cec8,54.5455%,5,6,11,6,2,3,0
0x1ccd4,37.5%,5,3,8,0,2,3,3
0x1ce54,28.5714%,5,2,7,0,3,2,2
0x1cd4c,37.5%,5,3,8,2,2,3,1
0x1cd8c,28.5714%,5,2,7,1,3,2,1
0x11c64,98.9669%,5,479,484,462,0,5,17
0x12adc,55.5556%,4,5,9,0,4,0,5
0x1cdd8,42.8571%,4,3,7,1,2,2,2
0x4cf64,20%,4,1,5,1,2,2,0
0x4c720,40%,3,2,5,2,2,1,0
0x1cf68,83.3333%,3,15,18,0,0,3,15
0x1d01c,50%,3,3,6,3,1,2,0
0x1cd18,62.5%,3,5,8,0,2,1,5
0x4cd94,25%,3,1,4,1,1,2,0
0x1ce14,57.1429%,3,4,7,3,2,1,1
0x1ce98,50%,3,3,6,1,1,2,2
0x4cd74,0%,3,0,3,0,2,1,0
0x1d06c,66.6667%,3,6,9,5,1,2,1
0x1cd04,70%,3,7,10,0,2,1,7
0x11fb8,91.3043%,2,21,23,0,1,1,21
0x11f8c,88.2353%,2,15,17,15,1,1,0
0x4e390,60%,2,3,5,3,2,0,0
0x4c788,50%,2,2,4,2,1,1,0
0x4cb68,50%,2,2,4,2,1,1,0
0x4a028,60%,2,3,5,0,2,0,3
0x11da8,66.6667%,2,4,6,4,2,0,0
0x4de20,60%,2,3,5,3,2,0,0
0x12a48,77.7778%,2,7,9,7,2,0,0
0x1cde8,50%,2,2,4,0,0,2,2
0x4cbd4,0%,2,0,2,0,2,0,0
0x4cdc0,0%,2,0,2,0,2,0,0
0x4b950,60%,2,3,5,3,1,1,0
0x4cbac,50%,1,1,2,0,0,1,1
0x4b800,80%,1,4,5,4,1,0,0
0x4d0c0,50%,1,1,2,0,1,0,1
0x10a74,88.8889%,1,8,9,8,1,0,0
0x4dc7c,80%,1,4,5,0,0,1,4
0x80000054,0%,1,0,1,0,1,0,0
0x1cf6c,94.4444%,1,17,18,0,0,1,17
0x4d0ac,50%,1,1,2,0,0,1,1
0x4a030,66.6667%,1,2,3,0,1,0,2
0x4a29c,80%,1,4,5,0,1,0,4
0x4dc90,80%,1,4,5,4,1,0,0
0x4c724,0%,1,0,1,0,1,0,0
0x800003c8,0%,1,0,1,0,1,0,0
0x4a2cc,80%,1,4,5,0,1,0,4
0x4b980,80%,1,4,5,4,1,0,0
0x4caf4,75%,1,3,4,3,1,0,0
0x12abc,88.8889%,1,8,9,8,1,0,0
0x4c808,0%,1,0,1,0,1,0,0
0x1ccc4,91.6667%,1,11,12,4,0,1,7
0x4ce54,0%,1,0,1,0,1,0,0
0x4d1e0,0%,1,0,1,0,1,0,0
0x1ce8c,83.3333%,1,5,6,5,1,0,0
0x1cd5c,75%,1,3,4,0,1,0,3
0x4b974,0%,1,0,1,0,0,1,0
0x4ca50,0%,1,0,1,0,1,0,0
0x4b7a4,80%,1,4,5,0,0,1,4
0x1cecc,66.6667%,1,2,3,0,0,1,2
0x4dc88,80%,1,4,5,0,1,0,4
0x4cf74,50%,1,1,2,1,1,0,0
0x4b7bc,80%,1,4,5,4,1,0,0
0x4c63c,80%,1,4,5,0,1,0,4
0x4b8ac,80%,1,4,5,4,1,0,0
0x4cbcc,50%,1,1,2,0,0,1,1
0x4c65c,75%,1,3,4,3,1,0,0
0x4cfd0,66.6667%,1,2,3,2,1,0,0
0x109ec,88.8889%,1,8,9,0,0,1,8
0x4d3d4,50%,1,1,2,1,1,0,0
0x11e20,99.2481%,1,132,133,132,1,0,0
0x4b924,80%,1,4,5,0,0,1,4
0x4d0f4,0%,1,0,1,0,1,0,0
0x4c744,75%,1,3,4,3,1,0,0
0x12b00,80%,1,4,5,4,1,0,0
0x4cfa0,66.6667%,1,2,3,1,1,0,1
0x1d044,50%,1,1,2,1,1,0,0
0x1ce68,75%,1,3,4,0,1,0,3
0x4c730,80%,1,4,5,0,1,0,4
0x4cda8,50%,1,1,2,0,1,0,1
0x4ca3c,0%,1,0,1,0,1,0,0
0x4b968,100%,0,1,1,0,0,0,1
0x4cb60,100%,0,4,4,0,0,0,4
0x4e344,100%,0,5,5,0,0,0,5
0x4cb54,100%,0,4,4,0,0,0,4
0x4dc64,100%,0,5,5,0,0,0,5
0x4b91c,100%,0,5,5,0,0,0,5
0x1cda0,100%,0,3,3,0,0,0,3
0x4b840,100%,0,5,5,0,0,0,5
0x4a04c,100%,0,2,2,0,0,0,2
0x49998,100%,0,2,2,0,0,0,2
0x4de18,100%,0,5,5,0,0,0,5
0x4a018,100%,0,5,5,0,0,0,5
0x4a010,100%,0,5,5,0,0,0,5
0x4dc4c,100%,0,5,5,0,0,0,5
0x4b7f4,100%,0,5,5,0,0,0,5
0x4a044,100%,0,2,2,0,0,0,2
0x4c6fc,100%,0,5,5,0,0,0,5
0x4c4b0,100%,0,5,5,0,0,0,5
0x4cd9c,100%,0,2,2,0,0,0,2
0x11d10,100%,0,109,109,0,0,0,109
0x4cf60,100%,0,3,3,0,0,0,3
0x4ddac,100%,0,1,1,1,0,0,0
0x4cb5c,100%,0,4,4,0,0,0,4
0x4e374,100%,0,5,5,0,0,0,5
0x10a34,100%,0,9,9,0,0,0,9
0x1cf84,100%,0,18,18,0,0,0,18
0x4b900,100%,0,5,5,0,0,0,5
0x4c6e4,100%,0,5,5,0,0,0,5
0x4b90c,100%,0,5,5,0,0,0,5
0x1ce24,100%,0,2,2,0,0,0,2
0x4d13c,100%,0,2,2,0,0,0,2
0x4c710,100%,0,5,5,0,0,0,5
0x4b938,100%,0,5,5,0,0,0,5
0x4ba2c,100%,0,5,5,0,0,0,5
0x4ba34,100%,0,5,5,5,0,0,0
0x4b7cc,100%,0,5,5,0,0,0,5
0x4b7d8,100%,0,5,5,0,0,0,5
0x4b7e8,100%,0,5,5,0,0,0,5
0x4a28c,100%,0,5,5,0,0,0,5
0x4a2bc,100%,0,5,5,0,0,0,5
0x1cf7c,100%,0,18,18,0,0,0,18
0x4c4b8,100%,0,5,5,0,0,0,5
0x1c72c,100%,0,18,18,0,0,0,18
0x12a9c,100%,0,9,9,0,0,0,9
0x1cb3c,100%,0,9,9,0,0,0,9
0x12ab8,100%,0,9,9,0,0,0,9
0x1cfb0,100%,0,9,9,0,0,0,9
0x1cee0,100%,0,2,2,0,0,0,2
0x4d0e8,100%,0,1,1,1,0,0,0
0x1cf28,100%,0,1,1,0,0,0,1
0x11fb0,100%,0,7,7,0,0,0,7
0x1cef4,100%,0,2,2,0,0,0,2
0x4cfb4,100%,0,1,1,0,0,0,1
0x4cba8,100%,0,2,2,0,0,0,2
0x11fa8,100%,0,1,1,0,0,0,1
0x1cefc,100%,0,1,1,0,0,0,1
0x4c718,100%,0,5,5,0,0,0,5
0x1cc8c,100%,0,11,11,0,0,0,11
0x4e380,100%,0,5,5,0,0,0,5
0x4c770,100%,0,4,4,0,0,0,4
0x4c738,100%,0,4,4,0,0,0,4
0x1d03c,100%,0,2,2,0,0,0,2
0x1c728,100%,0,18,18,0,0,0,18
0x4cd6c,100%,0,3,3,0,0,0,3
0x4c4c4,100%,0,5,5,5,0,0,0
0x4d0d0,100%,0,1,1,0,0,0,1
0x4c6f0,100%,0,5,5,0,0,0,5
0x800003e8,100%,0,1,1,0,0,0,1
0x4a000,100%,0,5,5,0,0,0,5
0x4c708,100%,0,5,5,0,0,0,5
0x11d60,100%,0,23,23,0,0,0,23
0x4c784,100%,0,4,4,0,0,0,4
0x4c6dc,100%,0,5,5,0,0,0,5
0x80000034,100%,0,1,1,0,0,0,1
0x4c6ec,100%,0,5,5,0,0,0,5
0x4c6b4,100%,0,5,5,0,0,0,5
0x4a038,100%,0,2,2,0,0,0,2
0x80000578,100%,0,1,1,0,0,0,1
0x11c24,100%,0,5,5,0,0,0,5
0x4ca78,100%,0,1,1,0,0,0,1
0x4c694,100%,0,5,5,0,0,0,5
0x4c67c,100%,0,4,4,0,0,0,4
0x11ed8,100%,0,462,462,0,0,0,462
0x4dc50,100%,0,5,5,0,0,0,5
0x4c48c,100%,0,5,5,0,0,0,5
0x4de0c,100%,0,5,5,0,0,0,5
